"seurat_clusters","freq.WT1","freq.WT2","freq.WT3","freq.WT4","freq.KO1","freq.KO2","freq.KO3","freq.KO4"
"1",0.236842105263158,0.08,0.157142857142857,0.111111111111111,0.148148148148148,0.277777777777778,0.195652173913043,0.230769230769231
"2",0.552631578947368,0.6,0.542857142857143,0.518518518518518,0.259259259259259,0.166666666666667,0.260869565217391,0.192307692307692
"3",NA,NA,NA,NA,NA,NA,0.0217391304347826,0.0384615384615385
"4",0.0263157894736842,0.08,0.0571428571428571,0.0185185185185185,NA,NA,0.0652173913043478,0.0769230769230769
"5",0.0263157894736842,0.08,0.0714285714285714,0.148148148148148,0.333333333333333,0.25,0.152173913043478,0.153846153846154
"6",0.0263157894736842,NA,NA,0.0185185185185185,0.037037037037037,0.111111111111111,0.108695652173913,0.115384615384615
"7",0.105263157894737,0.16,0.114285714285714,0.166666666666667,0.185185185185185,0.138888888888889,0.195652173913043,0.153846153846154
"10",0.0263157894736842,NA,0.0571428571428571,0.0185185185185185,0.037037037037037,0.0555555555555556,NA,0.0384615384615385
