Gene
ENSMUSG00000076744
ENSMUSG00000076745
ENSMUSG00000076746
ENSMUSG00000076747
ENSMUSG00000104962
ENSMUSG00000076749
ENSMUSG00000076750
ENSMUSG00000104630
ENSMUSG00000091682
ENSMUSG00000076752
ENSMUSG00000105830
ENSMUSG00000076754
ENSMUSG00000076755
ENSMUSG00000098799
ENSMUSG00000076757
ENSMUSG00000076864
ENSMUSG00000076865
ENSMUSG00000076866
ENSMUSG00000105823
ENSMUSG00000076867
ENSMUSG00000096749
ENSMUSG00000096176
ENSMUSG00000076870
ENSMUSG00000076871
ENSMUSG00000104876
ENSMUSG00000076873
ENSMUSG00000076758
ENSMUSG00000076759
ENSMUSG00000076760
ENSMUSG00000106382
ENSMUSG00000076761
ENSMUSG00000076762
ENSMUSG00000104620
ENSMUSG00000076764
ENSMUSG00000105533
ENSMUSG00000082819
ENSMUSG00000096600
ENSMUSG00000096746
ENSMUSG00000095387
ENSMUSG00000094023
ENSMUSG00000076770
ENSMUSG00000096478
ENSMUSG00000095426
ENSMUSG00000094792
ENSMUSG00000094176
ENSMUSG00000095088
ENSMUSG00000105393
ENSMUSG00000095689
ENSMUSG00000076778
ENSMUSG00000095854
ENSMUSG00000096653
ENSMUSG00000106533
ENSMUSG00000094914
ENSMUSG00000093939
ENSMUSG00000104714
ENSMUSG00000096129
ENSMUSG00000095495
ENSMUSG00000105887
ENSMUSG00000094607
ENSMUSG00000094758
ENSMUSG00000095560
ENSMUSG00000105953
ENSMUSG00000093953
ENSMUSG00000090868
ENSMUSG00000096505
ENSMUSG00000096106
ENSMUSG00000095756
ENSMUSG00000095643
ENSMUSG00000076795
ENSMUSG00000076796
ENSMUSG00000096329
ENSMUSG00000094619
ENSMUSG00000106481
ENSMUSG00000095736
ENSMUSG00000092251
ENSMUSG00000076800
ENSMUSG00000095646
ENSMUSG00000076802
ENSMUSG00000106259
ENSMUSG00000105629
ENSMUSG00000096055
ENSMUSG00000104629
ENSMUSG00000096827
ENSMUSG00000094413
ENSMUSG00000105070
ENSMUSG00000093813
ENSMUSG00000095572
ENSMUSG00000105956
ENSMUSG00000096531
ENSMUSG00000096541
ENSMUSG00000105467
ENSMUSG00000093915
ENSMUSG00000094779
ENSMUSG00000093801
ENSMUSG00000104915
ENSMUSG00000094877
ENSMUSG00000094231
ENSMUSG00000093969
ENSMUSG00000096168
ENSMUSG00000095370
ENSMUSG00000105080
ENSMUSG00000096038
ENSMUSG00000076821
ENSMUSG00000076822
ENSMUSG00000076823
ENSMUSG00000076824
ENSMUSG00000105548
